=== config: configs/cas_net_qiu.json  src: cas_net_pretrained  run_dir: cas_net_pretrained_qiu  split: test  extra:  ===
[reconnect] 160 to process, 0 already done, 0 without a source prediction
  [1/160] 878: b0 2 -> 2, +0 / -0 vox, 2s
  [2/160] 844: b0 2 -> 2, +0 / -0 vox, 2s
  [3/160] 625: b0 4 -> 2, +436 / -0 vox, 18s
  [4/160] 87: b0 4 -> 2, +0 / -496 vox, 19s
  [5/160] 368: b0 2 -> 2, +0 / -0 vox, 2s
  [6/160] 686: b0 3 -> 2, +48 / -0 vox, 26s
  [7/160] 80: b0 4 -> 2, +1636 / -0 vox, 26s
  [8/160] 954: b0 4 -> 2, +212 / -482 vox, 24s
  [9/160] 789: b0 3 -> 2, +87 / -0 vox, 27s
  [10/160] 580: b0 3 -> 2, +0 / -206 vox, 25s
  [11/160] 488: b0 2 -> 2, +0 / -0 vox, 2s
  [12/160] 448: b0 3 -> 2, +190 / -0 vox, 35s
  [13/160] 88: b0 5 -> 2, +645 / -1221 vox, 18s
  [14/160] 85: b0 7 -> 2, +1820 / -0 vox, 28s
  [15/160] 832: b0 2 -> 2, +0 / -0 vox, 2s
  [16/160] 509: b0 6 -> 2, +685 / -0 vox, 23s
  [17/160] 806: b0 4 -> 2, +0 / -907 vox, 27s
  [18/160] 775: b0 5 -> 2, +632 / -5186 vox, 20s
  [19/160] 790: b0 2 -> 2, +0 / -0 vox, 2s
  [20/160] 316: b0 5 -> 2, +384 / -347 vox, 25s
  [21/160] 423: b0 4 -> 2, +112 / -557 vox, 28s
  [22/160] 680: b0 3 -> 2, +0 / -215 vox, 22s
  [23/160] 676: b0 11 -> 2, +1026 / -1040 vox, 39s
  [24/160] 335: b0 4 -> 2, +620 / -0 vox, 18s
  [25/160] 465: b0 3 -> 2, +0 / -123 vox, 19s
  [26/160] 909: b0 5 -> 2, +339 / -0 vox, 22s
  [27/160] 42: b0 3 -> 2, +0 / -217 vox, 22s
  [28/160] 937: b0 3 -> 2, +0 / -344 vox, 18s
  [29/160] 808: b0 5 -> 2, +266 / -403 vox, 22s
  [30/160] 496: b0 2 -> 2, +0 / -0 vox, 2s
  [31/160] 103: b0 3 -> 2, +83 / -0 vox, 14s
  [32/160] 727: b0 3 -> 2, +0 / -526 vox, 18s
  [33/160] 280: b0 4 -> 2, +0 / -474 vox, 21s
  [34/160] 30: b0 4 -> 2, +324 / -0 vox, 20s
  [35/160] 874: b0 4 -> 2, +0 / -532 vox, 19s
  [36/160] 52: b0 4 -> 2, +357 / -0 vox, 21s
  [37/160] 512: b0 4 -> 2, +282 / -0 vox, 20s
  [38/160] 932: b0 3 -> 2, +0 / -373 vox, 16s
  [39/160] 218: b0 3 -> 2, +0 / -1024 vox, 19s
  [40/160] 324: b0 4 -> 2, +362 / -0 vox, 20s
  [41/160] 738: b0 8 -> 2, +113 / -1274 vox, 49s
  [42/160] 417: b0 3 -> 2, +107 / -0 vox, 20s
  [43/160] 995: b0 4 -> 2, +2050 / -0 vox, 33s
  [44/160] 758: b0 4 -> 2, +0 / -291 vox, 19s
  [45/160] 675: b0 3 -> 2, +144 / -0 vox, 19s
  [46/160] 175: b0 6 -> 2, +450 / -331 vox, 41s
  [47/160] 341: b0 3 -> 2, +229 / -0 vox, 16s
  [48/160] 544: b0 4 -> 2, +32 / -316 vox, 19s
  [49/160] 687: b0 3 -> 2, +0 / -129 vox, 18s
  [50/160] 759: b0 3 -> 2, +0 / -163 vox, 20s
  [51/160] 842: b0 4 -> 2, +454 / -0 vox, 22s
  [52/160] 768: b0 5 -> 2, +0 / -1652 vox, 31s
  [53/160] 138: b0 5 -> 2, +33 / -228 vox, 29s
  [54/160] 436: b0 3 -> 2, +147 / -0 vox, 15s
  [55/160] 616: b0 2 -> 2, +0 / -0 vox, 2s
  [56/160] 911: b0 2 -> 2, +0 / -0 vox, 2s
  [57/160] 474: b0 4 -> 2, +72 / -420 vox, 20s
  [58/160] 569: b0 4 -> 2, +424 / -0 vox, 21s
  [59/160] 377: b0 4 -> 2, +432 / -105 vox, 31s
  [60/160] 431: b0 5 -> 2, +0 / -975 vox, 28s
  [61/160] 828: b0 3 -> 2, +138 / -0 vox, 15s
  [62/160] 251: b0 3 -> 2, +0 / -628 vox, 22s
  [63/160] 211: b0 5 -> 2, +1059 / -0 vox, 22s
  [64/160] 63: b0 3 -> 2, +185 / -0 vox, 14s
  [65/160] 300: b0 3 -> 2, +168 / -0 vox, 20s
  [66/160] 396: b0 8 -> 2, +797 / -3055 vox, 31s
